Accusation,State,Name,,1893,
ARSON,Ala.,Paul Hill,,Accusation ,Count
,Ala.,Paul Archer,,Rape,39
,Ala.,William Archer,,attempted rape,8
,Ala.,Emma Fair,,alleged rape,4
SUSPECTED ROBBERY,Miss.,unknown negro,,suspicion of rape,1
ASSAULT,Ga.,Calvin Thoma,,murder,44
ATTEMPTED ASSAULT,La.,Tillman Green,,alleged murder,6
INCENDIARISM,Fla.,Patrick Wells,,alleged complicity in murder,4
,Miss.,Frank Harrell,,murderous assault,1
,Miss.,William Filder,,attempted murder,1
ATTEMPTED RAPE,Mo.,Richard Mays,,attempted robbery,4
,Ga.,Dug Hazleton,,arson,4
,Ky.,Judge McNeil,,incendiarism,3
,Miss.,Frank Smith,,alleged stock poisoning,1
,Mo.,William Jackson,,poisoning wells,2
,Ala.,Riley Gulley,,alleged poisoning wells,5
,Ala.,John Davis,,burglary,1
,S.C.,Robert Kennedy,,wife beating,1
BURGLARY,Miss.,Richard Forman,,self-defense,1
WIFE BEATING,La.,David Jackson,,suspected robbery,1
ATTEMPTED MURDER,Va.,Thomas Smith,,assault and battery,1
ATTEMPTED ROBBERY,Ala.,four unknown negroes,,insulting whites,2
RACE PREJUDICE,Miss.,Thomas Carr,,malpractice,1
,Texas,William Butler,,alleged barn burning,4
,Miss.,Charles Tart,,stealing,2
,Ark.,Robert Greenwood,,unknown offense,4
,Ill.,Allen Butler,,no offense,1
THIEVES,La.,two unknown negroes,,race prejudice,4
ALLEGED BARN BURNING,Va.,Edward Wagner,,total,159
,Va.,William Wagner,,state ,count
,Va.,Samuel Motlow,,Alabama,25
,Va.,Eliza Motlow,,Florida,7
ALLEGED MURDER,La.,Robert Landry,,Arkansas,7
,La.,Chicken George,,Georgia,24
,La.,Richard Davis,,Indian Territory,1
,Ala.,Benjamin Menter,,Illinois,3
,Ala.,Robert Wilkins,,Kansas,2
,Ala.,Joseph Gevhens,,Kentucky,8
ALLEGED COMPLICITY IN MURDER,La.,Valsin Julian,,Louisiana,18
