Crime ,State,# of Lynchings,,,
,,,,1894,
Murder, Ga ,8,,Crime,Total
,Ala,3,,Murder,45
,Ind,1,,Rape,29
,Ohi,1,,Unknown,6
,Ark,4,,Desperado,1
,Lou,9,,Suspected  ,1
,W. Vir,1,,Suspected  Incediarism ,1
,PA,1,,Suspected Arson,1
,Miss,5,,Enticing Servant Away,1
,Kans,1,,Train Wrecking,1
,Tex,4,,Highway Robbery,1
,Flor,1,,Incendiarism ,2
,SC,2,,Arson,1
,Va,2,,Assault,1
,MO,1,,No Offense,1
,Tenn,1,,Burglary,2
,,,,Alleged Rape,1
Rape,GA,9,,Attempted Rape,11
,MO,2,,Race Prejudice,2
,Ky,5,,Introducing Small Pox,1
,Tenn,3,,Kidnapping,1
,Ohio,1,,Conspiracy ,1
,Virg,2,,Horse Stealing,3
,Flor,1,,Writing Letter To a White  Woman,1
,Ark,1,,GIving Info,1
,Ala,2,,Stealing,1
,Tex,1,,Larceny,1
,Flor,2,,Polical Causes,1
,,,,Conjuring,1
Unknown,Ten,1,,Attempted Murd,1
,Ark,1,,Alleged Murder,2
,GA,1,,Without Cause,1
,SC,2,,Barn Burning,10
,W. Vir,1,,Asking White Women To Marry,1
,,,,,135
Desperado,Fla,1,,,
,,,,,
Suspected  Incediarism , La,1,,,
,,,,,
,,,,,
Suspected Arson,La ,1,,,
,,,,,
Enticing Servant Away,Ga,1,,,
Away,,,,,
,,,,,
Train Wrecking,Tex,1,,,
,,,,,
Highway Robbery, Ga,1,,,
,,,,,
Incendiarism ,Ky,2,,,
,,,,,
Arson,Tex,1,,,
,,,,,
Assault,La,1,,,
,,,,,
No Offense,La,1,,,
,,,,,
Burglary,Miss,2,,,
,,,,,
Alleged Rape,Miss,1,,,
,,,,,
Attempted Rape,MIss,5,,,
,La,1,,,
,Ky,1,,,
,Fla,1,,,
,Tex,1,,,
,MD,1,,,
,Ala,1,,,
,,,,,
Race Prejudice,La,1,,,
,Miss,1,,,
,,,,,
Introducing Small Pox,Ark,1,,,
,,,,,
,,,,,
Kidnapping,Ky,1,,,
,,,,,
Conspiracy ,Fla,1,,,
,,,,,
Horse Stealing,Ky,3,,,
,,,,,
Writing Letter To a White  Woman,West Texas,1,,,
,,,,,
,,,,,
,,,,,
GIving Info,Sc,1,,,
,,,,,
Stealing,Ark,1,,,
,,,,,
Larceny,Tenn,1,,,
,,,,,
Polical Causes,Ala,1,,,
,,,,,
Conjuring,Miss,1,,,
,,,,,
Attempted Murd,Tenn,1,,,
,,,,,
Alleged Murder,Ala,2,,,
,,,,,
Without Cause,Va,1,,,
,,,,,
Barn Burning,Ala,3,,,
,Tenn,7,,,
,,,,,
Asking White,,,,,
Women To Marry,Ark,1,,,
,,,,,
Women Lynched,,1,,,
,,,,,
Race Prejudice,,1,,,
