"State","count","...3","1892","...5"
"Alabama",22,NA,"Accusation (all negros below)","count"
"Arkansas",25,NA,"Rape","46"
"California",3,NA,"murder","58"
"Florida",11,NA,"race prejudice","6"
"Georgia",17,NA,"no cause given","4"
"Idaho",8,NA,"incendiarism","6"
"Illinois",1,NA,"robbery","6"
"Kansas",3,NA,"assault and battery","1"
"Kentucky",9,NA,"attempted rape","11"
"Louisiana",29,NA,"suspected robbery","4"
"Maryland",1,NA,"larceny","1"
"Mississippi",16,NA,"self-defense","1"
"Missouri",6,NA,"insulting women","2"
"Montana",4,NA,"desperadoes","6"
"New York",1,NA,"fraud","1"
"North Carolina,",5,NA,"attempted murder","2"
"North Dakota",1,NA,"no offense stated, boy and girl","2"
"Ohio",3,NA,"rioting","3"
"South Carolina",5,NA,NA,"160"
"Tennessee",28,NA,NA,NA
"Texas",15,NA,NA,NA
"Virginia",7,NA,NA,NA
"West Virginia",5,NA,NA,NA
"Wyoming",9,NA,NA,NA
"Arizona Territory",3,NA,NA,NA
"Oklahoma",2,NA,NA,NA
